# x_m, y_m, w_tr_left_m, w_tr_right_m
2.500000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.750000000000001332e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.000000000000000444e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.250000000000001776e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.500000000000000888e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.750000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
4.000000000000001332e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
4.250000000000000444e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
4.500000000000001776e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
4.750000000000000888e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
5.000000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
5.249999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
5.500000000000002665e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
5.750000000000001776e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
6.000000000000000888e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
6.250000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
6.499999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
6.750000000000002665e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
7.000000000000001776e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
7.250000000000000888e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
7.500000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
7.749999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
8.000000000000002665e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
8.250000000000001776e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
8.500000000000000888e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
8.750000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
9.000000000000003553e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
9.250000000000002665e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
9.500000000000001776e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
9.750000000000000888e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.000000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.025000000000000355e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.050000000000000266e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.075000000000000178e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.100000000000000089e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.125000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.150000000000000355e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.175000000000000266e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.200000000000000178e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.225000000000000089e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.250000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.275000000000000355e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.300000000000000266e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.325000000000000178e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.350000000000000089e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.375000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.400000000000000355e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.425000000000000266e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.450000000000000178e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.475000000000000089e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.500000000000000222e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.524974285151075248e+00,1.899835857404842399e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.549944255203226762e+00,1.899343457980202876e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.574905595803102853e+00,1.898522886803680754e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.599853994088360487e+00,1.897374285654942039e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.624785139432853853e+00,1.895897852991221377e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.649694724191427708e+00,1.894093843913033703e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.674578444444200898e+00,1.891962570120096832e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.699432000740206394e+00,1.889504399857475203e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.724251098840255292e+00,1.886719757851954338e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.749031450458903070e+00,1.883609125238655979e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.773768774005388904e+00,1.880173039477905483e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.798458795323412795e+00,1.876412094262370989e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.823097248429635275e+00,1.872326939414481028e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.847679876250757136e+00,1.867918280774150341e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.872202431359065944e+00,1.863186880076821428e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.896660676706314996e+00,1.858133554821850719e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.921050386355804163e+00,1.852759178131261564e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.945367346212548032e+00,1.847064678598882237e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.969607354751390815e+00,1.841051040129903837e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.993766223742955646e+00,1.834719301770878941e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.017839778977292831e+00,1.828070557530192319e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.041823860985107153e+00,1.821105956189038144e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.065714325756435876e+00,1.813826701102930761e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.089507045456663104e+00,1.806234049993786339e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.113197909139726605e+00,1.798329314732612261e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.136782823458420300e+00,1.790113861112840654e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.160257713371646293e+00,1.781589108614341610e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.183618522848508547e+00,1.772756530158166699e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.206861215569120294e+00,1.763617651852051882e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.229981775622005280e+00,1.754174052726736432e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.252976208197977392e+00,1.744427364463134067e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.275840540280364088e+00,1.734379271110408682e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.298570821331477276e+00,1.724031508795001777e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.321163123975189535e+00,1.713385865420660847e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.343613544675516192e+00,1.702444180359523607e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.365918204411070480e+00,1.691208344134307762e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.388073249345292304e+00,1.679680298091661861e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.410074851492316927e+00,1.667862034066738053e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.431919209378381019e+00,1.655755594039039380e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.453602548698651464e+00,1.643363069779601560e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.475121122969351717e+00,1.630686602489574089e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.496471214175085773e+00,1.617728382430261513e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.517649133411246520e+00,1.604490648544683262e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.538651221521389001e+00,1.590975688070727978e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.559473849729463790e+00,1.577185836145959419e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.580113420266805235e+00,1.563123475404148310e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.600566366993760870e+00,1.548791035563595209e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.620829156015851424e+00,1.534190993007322090e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.640898286294366848e+00,1.519325870355196839e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.660770290251278869e+00,1.504198236028071234e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.680441734368376405e+00,1.488810703804005930e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.699909219780514569e+00,1.473165932366655273e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.719169382862875572e+00,1.457266624845897862e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.738218895812142062e+00,1.441115528350784158e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.757054467221480287e+00,1.424715433494885719e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.775672842649234973e+00,1.408069173914129779e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.794070805181238182e+00,1.391179625777197115e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.812245175986630485e+00,1.374049707288574451e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.830192814867107387e+00,1.356682378184341786e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.847910620799487091e+00,1.339080639220782798e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.865395532471511242e+00,1.321247531655911356e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.882644528810780926e+00,1.303186136723995858e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.899654629506745351e+00,1.284899575103180647e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.916422895525645487e+00,1.266391006376286876e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.932946429618322526e+00,1.247663628484897647e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.949222376820810787e+00,1.228720677176810661e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.965247924947623126e+00,1.209565425446959219e+00,5.999999999999999778e-01,5.999999999999999778e-01
2.981020305077645816e+00,1.190201182971902361e+00,5.999999999999999778e-01,5.999999999999999778e-01
